,date,symbol,close
820576,2016-10-04,MSFT,57.240002
821076,2016-10-05,MSFT,57.639999
821576,2016-10-06,MSFT,57.740002
822076,2016-10-07,MSFT,57.799999
822576,2016-10-10,MSFT,58.040001
823076,2016-10-11,MSFT,57.189999
823576,2016-10-12,MSFT,57.110001
824076,2016-10-13,MSFT,56.919998
824576,2016-10-14,MSFT,57.419998
825076,2016-10-17,MSFT,57.220001
825576,2016-10-18,MSFT,57.66
826076,2016-10-19,MSFT,57.529999
826576,2016-10-20,MSFT,57.25
827076,2016-10-21,MSFT,59.66
827576,2016-10-24,MSFT,61.0
828076,2016-10-25,MSFT,60.990002
828576,2016-10-26,MSFT,60.630001
829076,2016-10-27,MSFT,60.099998
829576,2016-10-28,MSFT,59.869999
830076,2016-10-31,MSFT,59.919998
830576,2016-11-01,MSFT,59.799999
831076,2016-11-02,MSFT,59.43
831576,2016-11-03,MSFT,59.209999
832076,2016-11-04,MSFT,58.709999
832576,2016-11-07,MSFT,60.419998
833076,2016-11-08,MSFT,60.470001
833576,2016-11-09,MSFT,60.169998
834076,2016-11-10,MSFT,58.700001
834576,2016-11-11,MSFT,59.02
835076,2016-11-14,MSFT,58.119999
835576,2016-11-15,MSFT,58.869999
836076,2016-11-16,MSFT,59.650002
836576,2016-11-17,MSFT,60.639999
837076,2016-11-18,MSFT,60.349998
837576,2016-11-21,MSFT,60.860001
838076,2016-11-22,MSFT,61.119999
838576,2016-11-23,MSFT,60.400002
839076,2016-11-25,MSFT,60.529999
839576,2016-11-28,MSFT,60.610001
840076,2016-11-29,MSFT,61.09
840576,2016-11-30,MSFT,60.259998
841076,2016-12-01,MSFT,59.200001
841576,2016-12-02,MSFT,59.25
842076,2016-12-05,MSFT,60.220001
842576,2016-12-06,MSFT,59.950001
843076,2016-12-07,MSFT,61.369999
843576,2016-12-08,MSFT,61.009998
844076,2016-12-09,MSFT,61.970001
844576,2016-12-12,MSFT,62.169998
845076,2016-12-13,MSFT,62.98
845576,2016-12-14,MSFT,62.68
846076,2016-12-15,MSFT,62.580002
846576,2016-12-16,MSFT,62.299999
847076,2016-12-19,MSFT,63.619999
847576,2016-12-20,MSFT,63.540001
848076,2016-12-21,MSFT,63.540001
848576,2016-12-22,MSFT,63.549999
849076,2016-12-23,MSFT,63.240002
849576,2016-12-27,MSFT,63.279999
850076,2016-12-28,MSFT,62.990002
850576,2016-12-29,MSFT,62.900002
851076,2016-12-30,MSFT,62.139999
801641,2016-08-10,PYPL,38.07
802141,2016-08-11,PYPL,38.459999
802641,2016-08-12,PYPL,38.509998
803141,2016-08-15,PYPL,38.459999
803641,2016-08-16,PYPL,38.380001
804141,2016-08-17,PYPL,38.139999
804641,2016-08-18,PYPL,38.220001
805141,2016-08-19,PYPL,38.09
805641,2016-08-22,PYPL,38.110001
806141,2016-08-23,PYPL,37.860001
806641,2016-08-24,PYPL,37.52
807141,2016-08-25,PYPL,37.509998
807641,2016-08-26,PYPL,37.650002
808141,2016-08-29,PYPL,37.290001
808641,2016-08-30,PYPL,37.0
809141,2016-08-31,PYPL,37.150002
809641,2016-09-01,PYPL,36.830002
810141,2016-09-02,PYPL,37.07
810641,2016-09-06,PYPL,37.18
811141,2016-09-07,PYPL,38.560001
811641,2016-09-08,PYPL,39.27
812141,2016-09-09,PYPL,38.009998
812641,2016-09-12,PYPL,38.77
813141,2016-09-13,PYPL,39.860001
813641,2016-09-14,PYPL,39.959999
814141,2016-09-15,PYPL,40.830002
814641,2016-09-16,PYPL,40.700001
815141,2016-09-19,PYPL,40.009998
815641,2016-09-20,PYPL,39.689999
816141,2016-09-21,PYPL,40.290001
816641,2016-09-22,PYPL,40.490002
817141,2016-09-23,PYPL,40.07
817641,2016-09-26,PYPL,40.34
818141,2016-09-27,PYPL,41.060001
818641,2016-09-28,PYPL,40.970001
819141,2016-09-29,PYPL,40.389999
819641,2016-09-30,PYPL,40.970001
820141,2016-10-03,PYPL,40.59
820641,2016-10-04,PYPL,40.779999
821141,2016-10-05,PYPL,40.439999
821641,2016-10-06,PYPL,40.18
822141,2016-10-07,PYPL,39.880001
822641,2016-10-10,PYPL,39.860001
823141,2016-10-11,PYPL,39.189999
823641,2016-10-12,PYPL,39.529999
824141,2016-10-13,PYPL,39.200001
824641,2016-10-14,PYPL,39.240002
825141,2016-10-17,PYPL,39.48
825641,2016-10-18,PYPL,39.830002
826141,2016-10-19,PYPL,40.240002
826641,2016-10-20,PYPL,40.09
827141,2016-10-21,PYPL,44.150002
827641,2016-10-24,PYPL,43.869999
828141,2016-10-25,PYPL,43.310001
828641,2016-10-26,PYPL,42.330002
829141,2016-10-27,PYPL,41.689999
829641,2016-10-28,PYPL,41.759998
830141,2016-10-31,PYPL,41.66
830641,2016-11-01,PYPL,41.540001
831141,2016-11-02,PYPL,41.349998
831641,2016-11-03,PYPL,41.189999
832141,2016-11-04,PYPL,40.900002
832641,2016-11-07,PYPL,41.279999
833141,2016-11-08,PYPL,41.580002
833641,2016-11-09,PYPL,41.259998
834141,2016-11-10,PYPL,40.450001
834641,2016-11-11,PYPL,40.080002
835141,2016-11-14,PYPL,38.810001
835641,2016-11-15,PYPL,38.939999
836141,2016-11-16,PYPL,39.07
836641,2016-11-17,PYPL,39.880001
837141,2016-11-18,PYPL,40.080002
837641,2016-11-21,PYPL,40.630001
838141,2016-11-22,PYPL,40.330002
838641,2016-11-23,PYPL,40.049999
839141,2016-11-25,PYPL,40.259998
839641,2016-11-28,PYPL,39.959999
840141,2016-11-29,PYPL,39.889999
840641,2016-11-30,PYPL,39.279999
841141,2016-12-01,PYPL,38.34
841641,2016-12-02,PYPL,38.619999
842141,2016-12-05,PYPL,38.990002
842641,2016-12-06,PYPL,38.98
843141,2016-12-07,PYPL,39.450001
843641,2016-12-08,PYPL,39.610001
844141,2016-12-09,PYPL,39.650002
844641,2016-12-12,PYPL,39.43
845141,2016-12-13,PYPL,39.43
845641,2016-12-14,PYPL,39.549999
846141,2016-12-15,PYPL,39.540001
846641,2016-12-16,PYPL,39.32
847141,2016-12-19,PYPL,39.439999
847641,2016-12-20,PYPL,39.740002
848141,2016-12-21,PYPL,40.09
848641,2016-12-22,PYPL,39.68
849141,2016-12-23,PYPL,39.580002
849641,2016-12-27,PYPL,39.720001
850141,2016-12-28,PYPL,39.57
850641,2016-12-29,PYPL,39.959999
851141,2016-12-30,PYPL,39.470001
